Edge Detection,,,Image Smoothing,,,Image Multiplication,,,,
PSNR,SSIM,,PSNR,SSIM,,PSNR,SSIM,,,
inf,1.0000,,21.89,0.8836,,28.19,0.8733,,,
inf,1.0000,,20.48,0.8451,,29.37,0.8763,,,
inf,1.0000,,23.61,0.9113,,32.38,0.9127,,,
inf,1.0000,,21.59,0.871,,32.34,0.916,,,
inf,1.0000,,24.23,0.8737,,30.17,0.9381,,,
inf,1.0000,,24.01,0.9031,,26.01,0.8521,,,
inf,1.0000,,17.22,0.7824,,25.98,0.8354,,,
inf,1.0000,,20.99,0.8903,,28.6,0.8824,,,
inf,1.0000,,21.12,0.8637,,26.88,0.8251,,,
,,,,,,27.45,0.821,,,
Avg. PSNR,inf,,Avg. PSNR,21.68,,29.33,0.8753,,Avg. PSNR,28.65
Min. PSNR,inf,,Min. PSNR,17.22,,29.05,0.8666,,Min. PSNR,22.92
Max. PSNR,inf,,Max. PSNR,24.23,,31,0.9145,,Max. PSNR,33.2
,,,,,,26.34,0.8266,,,
Avg. SSIM,1,,Avg. SSIM,0.8694,,24.84,0.7888,,Avg. SSIM,0.875
Min. SSIM,1,,Min. SSIM,0.7824,,27.31,0.8796,,Min. SSIM,0.7557
Max. SSIM,1,,Max. SSIM,0.9113,,30.6,0.8976,,Max. SSIM,0.9413
,,,,,,29.36,0.8849,,,
,,,,,,32.51,0.914,,,
,,,,,,30.19,0.9104,,,
,,,,,,32.47,0.9309,,,
,,,,,,27.39,0.8558,,,
,,,,,,27.71,0.8731,,,
,,,,,,30.27,0.9105,,,
,,,,,,28.47,0.8576,,,
,,,,,,26.77,0.8481,,,
,,,,,,28.64,0.8606,,,
,,,,,,32.28,0.9009,,,
,,,,,,30.63,0.9208,,,
,,,,,,24.48,0.824,,,
,,,,,,27.13,0.8271,,,
,,,,,,27.17,0.8636,,,
,,,,,,29.87,0.8841,,,
,,,,,,28.69,0.8713,,,
,,,,,,30.55,0.8844,,,
,,,,,,32.18,0.8978,,,
,,,,,,32.36,0.932,,,
,,,,,,26.7,0.849,,,
,,,,,,28.55,0.8673,,,
,,,,,,29.58,0.9033,,,
,,,,,,31.97,0.934,,,
,,,,,,30.48,0.9106,,,
,,,,,,31.04,0.9071,,,
,,,,,,33.2,0.9319,,,
,,,,,,31.19,0.9286,,,
,,,,,,29.49,0.9059,,,
,,,,,,27.88,0.8902,,,
,,,,,,30.88,0.9362,,,
,,,,,,25.64,0.8165,,,
,,,,,,24.37,0.805,,,
,,,,,,25.23,0.7713,,,
,,,,,,29.39,0.8674,,,
,,,,,,29.03,0.8491,,,
,,,,,,26.7,0.8877,,,
,,,,,,22.92,0.7557,,,
,,,,,,24.2,0.8248,,,
,,,,,,28.62,0.8632,,,
,,,,,,26.62,0.8516,,,
,,,,,,27.22,0.8606,,,
,,,,,,29.36,0.8907,,,
,,,,,,30.56,0.9044,,,
,,,,,,30.2,0.9254,,,
,,,,,,24.25,0.8328,,,
,,,,,,27.04,0.8582,,,
,,,,,,28.23,0.8575,,,
,,,,,,27.16,0.8829,,,
,,,,,,27.97,0.8486,,,
,,,,,,29.67,0.8987,,,
,,,,,,28.86,0.8929,,,
,,,,,,30.85,0.9413,,,
,,,,,,26.57,0.8944,,,
,,,,,,26.1,0.822,,,
